Task ID,Task Description,Deadline,Priority,Assigned User,User Workload,Past Task Behavior,Category,Status,Time Taken (hours),Days Remaining,User Current Load,Past Behavior Score,Task Complexity Score,Category Specialist Match,User Availability Flag
TASK0082,Task description 82,2025-05-31,Medium,Alice,6,Unreliable,Research,Pending,6.71,3,6,0.3,0.8,0,1
TASK0083,Task description 83,2025-06-13,Medium,Eva,2,On-time,Testing,Pending,8.96,16,5,0.8,0.7,0,1
TASK0084,Task description 84,2025-06-19,Low,Charlie,5,Perfect,Design,In Progress,4.96,22,5,1.0,0.6,1,1
TASK0085,Task description 85,2025-05-29,High,Charlie,3,Delayed,Documentation,Pending,4.38,1,5,0.5,0.5,0,1
TASK0086,Task description 86,2025-06-04,Medium,David,9,Perfect,Design,In Progress,5.0,7,12,1.0,0.6,0,0
TASK0087,Task description 87,2025-05-28,Medium,Alice,7,On-time,Testing,Completed,7.83,0,7,0.8,0.7,0,1
TASK0088,Task description 88,2025-06-26,Medium,Alice,7,On-time,Testing,Completed,6.66,29,10,0.8,0.7,0,0
TASK0089,Task description 89,2025-06-02,High,Alice,4,Perfect,Design,In Progress,4.94,5,4,1.0,0.6,0,1
TASK0090,Task description 90,2025-06-07,Low,Charlie,8,Delayed,Design,In Progress,7.03,10,9,0.5,0.6,1,0
TASK0091,Task description 91,2025-05-30,Low,David,3,Perfect,Documentation,Completed,6.19,2,3,1.0,0.5,0,1
TASK0092,Task description 92,2025-06-26,High,Alice,4,Perfect,Research,Completed,7.94,29,6,1.0,0.8,0,1
TASK0093,Task description 93,2025-06-12,High,Bob,6,Perfect,Development,In Progress,4.6,15,9,1.0,0.9,0,0
TASK0094,Task description 94,2025-06-17,Low,David,5,Perfect,Design,Completed,5.34,20,6,1.0,0.6,0,1
TASK0095,Task description 95,2025-06-05,Medium,Eva,10,On-time,Development,Completed,5.22,8,11,0.8,0.9,0,0
TASK0096,Task description 96,2025-06-14,High,David,6,On-time,Research,Completed,3.07,17,8,0.8,0.8,1,0
TASK0097,Task description 97,2025-06-08,Low,Charlie,6,Unreliable,Design,Pending,6.59,11,9,0.3,0.6,1,0
TASK0098,Task description 98,2025-06-06,Medium,David,3,Delayed,Documentation,In Progress,6.52,9,3,0.5,0.5,0,1
TASK0099,Task description 99,2025-06-14,Medium,Alice,3,On-time,Documentation,In Progress,6.01,17,3,0.8,0.5,0,1
TASK0100,Task description 100,2025-06-06,Low,David,1,On-time,Design,In Progress,5.53,9,4,0.8,0.6,0,1
TASK0101,Task description 101,2025-05-30,Medium,Eva,5,Perfect,Research,Pending,3.17,2,6,1.0,0.8,0,1
TASK0102,Task description 102,2025-06-18,High,Charlie,6,On-time,Testing,In Progress,5.16,21,8,0.8,0.7,0,0
TASK0103,Task description 103,2025-06-25,High,David,8,On-time,Research,Completed,5.31,28,8,0.8,0.8,1,0
TASK0104,Task description 104,2025-06-07,Medium,Alice,9,Perfect,Research,Pending,4.4,10,9,1.0,0.8,0,0
TASK0105,Task description 105,2025-06-23,Low,Charlie,7,Perfect,Testing,Pending,5.68,26,7,1.0,0.7,0,1
TASK0106,Task description 106,2025-06-17,High,Charlie,8,Perfect,Documentation,Pending,6.81,20,8,1.0,0.5,0,0
TASK0107,Task description 107,2025-06-09,Medium,Charlie,5,On-time,Development,Pending,9.77,12,7,0.8,0.9,0,1
TASK0108,Task description 108,2025-06-18,Medium,Charlie,2,Delayed,Documentation,Completed,6.35,21,2,0.5,0.5,0,1
TASK0109,Task description 109,2025-06-09,High,Bob,5,On-time,Documentation,Completed,6.52,12,5,0.8,0.5,0,1
TASK0110,Task description 110,2025-06-13,High,Alice,7,Perfect,Research,In Progress,5.85,16,7,1.0,0.8,0,1
TASK0111,Task description 111,2025-06-25,Medium,Alice,6,On-time,Design,In Progress,2.16,28,9,0.8,0.6,0,0
TASK0112,Task description 112,2025-06-10,Low,Alice,5,On-time,Research,Completed,5.95,13,7,0.8,0.8,0,1
TASK0113,Task description 113,2025-06-01,High,Charlie,9,Unreliable,Documentation,In Progress,6.12,4,10,0.3,0.5,0,0
TASK0114,Task description 114,2025-06-06,Medium,David,8,Unreliable,Testing,Completed,10.93,9,10,0.3,0.7,0,0
TASK0115,Task description 115,2025-06-13,High,David,7,Perfect,Research,In Progress,5.62,16,7,1.0,0.8,1,1
TASK0116,Task description 116,2025-06-12,Low,Charlie,10,Delayed,Testing,In Progress,6.6,15,13,0.5,0.7,0,0
TASK0117,Task description 117,2025-06-08,High,David,2,Perfect,Research,Pending,5.93,11,2,1.0,0.8,1,1
TASK0118,Task description 118,2025-06-16,Medium,Alice,1,Delayed,Testing,In Progress,3.66,19,3,0.5,0.7,0,1
TASK0119,Task description 119,2025-06-25,Medium,Bob,10,On-time,Documentation,Completed,8.29,28,13,0.8,0.5,0,0
TASK0120,Task description 120,2025-06-11,Medium,Charlie,2,Perfect,Design,Pending,7.5,14,5,1.0,0.6,1,1
TASK0121,Task description 121,2025-06-18,Low,David,4,On-time,Development,Completed,7.58,21,7,0.8,0.9,0,1
TASK0122,Task description 122,2025-06-23,High,Charlie,2,On-time,Development,In Progress,4.18,26,3,0.8,0.9,0,1
TASK0123,Task description 123,2025-06-23,High,Eva,7,On-time,Development,Pending,8.81,26,10,0.8,0.9,0,0
TASK0124,Task description 124,2025-05-28,Low,David,1,Perfect,Documentation,Pending,3.2,0,1,1.0,0.5,0,1
TASK0125,Task description 125,2025-06-12,Low,Bob,1,On-time,Documentation,In Progress,7.17,15,2,0.8,0.5,0,1
TASK0126,Task description 126,2025-06-02,Medium,Charlie,6,Delayed,Testing,In Progress,10.38,5,8,0.5,0.7,0,0
TASK0127,Task description 127,2025-06-26,Medium,David,10,On-time,Documentation,Completed,4.02,29,12,0.8,0.5,0,0
TASK0128,Task description 128,2025-06-06,High,Charlie,5,Delayed,Research,Completed,4.87,9,8,0.5,0.8,0,0
TASK0129,Task description 129,2025-05-31,High,Bob,8,On-time,Documentation,Pending,6.2,3,8,0.8,0.5,0,0
TASK0130,Task description 130,2025-06-07,Low,Alice,4,Perfect,Development,Pending,4.99,10,6,1.0,0.9,1,1
TASK0131,Task description 131,2025-06-20,High,David,4,Perfect,Testing,Completed,2.9,23,5,1.0,0.7,0,1
TASK0132,Task description 132,2025-06-19,High,Eva,7,Perfect,Design,Completed,6.14,22,10,1.0,0.6,0,0
TASK0133,Task description 133,2025-06-13,Low,Eva,10,On-time,Research,In Progress,3.88,16,11,0.8,0.8,0,0
TASK0134,Task description 134,2025-06-18,Medium,Bob,7,Perfect,Design,Pending,6.95,21,7,1.0,0.6,0,1
TASK0135,Task description 135,2025-06-17,Low,Alice,6,On-time,Development,Completed,4.16,20,8,0.8,0.9,1,0
TASK0136,Task description 136,2025-06-14,Low,David,5,Unreliable,Development,Completed,9.1,17,6,0.3,0.9,0,1
TASK0137,Task description 137,2025-06-01,High,Eva,1,Delayed,Documentation,Pending,4.43,4,1,0.5,0.5,1,1
TASK0138,Task description 138,2025-06-09,Low,Charlie,10,On-time,Design,Completed,5.36,12,12,0.8,0.6,1,0
TASK0139,Task description 139,2025-06-23,Low,Eva,2,On-time,Testing,Pending,7.63,26,5,0.8,0.7,0,1
TASK0140,Task description 140,2025-06-11,High,Eva,2,Perfect,Development,Pending,3.54,14,4,1.0,0.9,0,1
TASK0141,Task description 141,2025-05-31,Medium,Alice,9,Perfect,Development,Pending,6.45,3,10,1.0,0.9,1,0
TASK0142,Task description 142,2025-06-11,High,Bob,4,Delayed,Testing,In Progress,8.61,14,5,0.5,0.7,1,1
TASK0143,Task description 143,2025-06-25,Medium,David,6,On-time,Research,Completed,2.79,28,8,0.8,0.8,1,0
TASK0144,Task description 144,2025-06-21,Medium,Alice,3,Delayed,Design,Pending,6.37,24,4,0.5,0.6,0,1
TASK0145,Task description 145,2025-06-08,Medium,Eva,10,Delayed,Development,In Progress,6.52,11,11,0.5,0.9,0,0
TASK0146,Task description 146,2025-06-14,Low,Charlie,10,On-time,Research,In Progress,7.56,17,10,0.8,0.8,0,0
TASK0147,Task description 147,2025-06-11,Low,Eva,3,On-time,Testing,In Progress,3.53,14,6,0.8,0.7,0,1
TASK0148,Task description 148,2025-05-28,Medium,Bob,3,Perfect,Testing,Pending,3.36,0,6,1.0,0.7,1,1
TASK0149,Task description 149,2025-06-21,Low,Eva,4,Delayed,Development,Completed,7.04,24,6,0.5,0.9,0,1
TASK0150,Task description 150,2025-05-31,Medium,Bob,6,Delayed,Development,Pending,6.59,3,8,0.5,0.9,0,0
TASK0151,Task description 151,2025-06-09,High,David,2,On-time,Design,In Progress,6.5,12,2,0.8,0.6,0,1
TASK0152,Task description 152,2025-06-24,Medium,Alice,10,Unreliable,Research,Pending,6.69,27,11,0.3,0.8,0,0
TASK0153,Task description 153,2025-06-22,Medium,David,6,On-time,Design,In Progress,4.64,25,8,0.8,0.6,0,0
TASK0154,Task description 154,2025-06-15,High,David,3,On-time,Research,Pending,6.46,18,5,0.8,0.8,1,1
TASK0155,Task description 155,2025-06-22,Medium,Alice,8,Perfect,Design,Completed,6.59,25,9,1.0,0.6,0,0
TASK0156,Task description 156,2025-05-31,High,Bob,5,On-time,Design,Pending,4.57,3,8,0.8,0.6,0,0
TASK0157,Task description 157,2025-05-28,High,David,5,On-time,Design,In Progress,9.73,0,6,0.8,0.6,0,1
TASK0158,Task description 158,2025-05-29,Medium,Alice,10,On-time,Testing,Pending,6.95,1,13,0.8,0.7,0,0
TASK0159,Task description 159,2025-06-22,Low,Bob,3,On-time,Research,Completed,3.62,25,6,0.8,0.8,0,1
TASK0160,Task description 160,2025-06-24,Medium,Charlie,1,Perfect,Testing,In Progress,7.31,27,1,1.0,0.7,0,1
TASK0161,Task description 161,2025-05-28,Medium,Eva,7,Perfect,Research,In Progress,4.05,0,8,1.0,0.8,0,0
TASK0162,Task description 162,2025-06-04,High,Eva,7,Unreliable,Testing,Completed,7.57,7,10,0.3,0.7,0,0
TASK0163,Task description 163,2025-05-30,High,Bob,8,Delayed,Testing,In Progress,8.32,2,8,0.5,0.7,1,0
TASK0164,Task description 164,2025-06-25,Medium,Eva,9,Delayed,Documentation,Completed,4.36,28,11,0.5,0.5,1,0
TASK0165,Task description 165,2025-06-11,Medium,Alice,9,Perfect,Documentation,Completed,7.93,14,11,1.0,0.5,0,0
TASK0166,Task description 166,2025-06-23,Medium,Alice,6,On-time,Testing,Completed,6.83,26,8,0.8,0.7,0,0
TASK0167,Task description 167,2025-06-16,Medium,Charlie,6,Perfect,Design,Completed,7.64,19,7,1.0,0.6,1,1
TASK0168,Task description 168,2025-05-31,Medium,Alice,4,Unreliable,Testing,In Progress,9.79,3,7,0.3,0.7,0,1
TASK0169,Task description 169,2025-05-28,Medium,Bob,10,Delayed,Development,Pending,5.51,0,11,0.5,0.9,0,0
TASK0170,Task description 170,2025-05-30,Medium,David,3,On-time,Development,In Progress,4.49,2,5,0.8,0.9,0,1
TASK0171,Task description 171,2025-06-24,Low,Bob,9,Perfect,Testing,Completed,4.22,27,11,1.0,0.7,1,0
TASK0172,Task description 172,2025-06-05,Medium,Charlie,9,On-time,Testing,Pending,4.37,8,9,0.8,0.7,0,0
TASK0173,Task description 173,2025-06-02,Medium,Bob,1,Delayed,Development,Completed,5.85,5,4,0.5,0.9,0,1
TASK0174,Task description 174,2025-06-09,Medium,Bob,9,Perfect,Documentation,In Progress,6.68,12,10,1.0,0.5,0,0
TASK0175,Task description 175,2025-06-20,High,David,9,On-time,Research,In Progress,6.55,23,12,0.8,0.8,1,0
TASK0176,Task description 176,2025-06-05,Medium,Eva,9,On-time,Research,In Progress,7.65,8,12,0.8,0.8,0,0
TASK0177,Task description 177,2025-05-29,Medium,Alice,2,On-time,Research,Completed,6.03,1,2,0.8,0.8,0,1
TASK0178,Task description 178,2025-06-19,Medium,Eva,5,On-time,Documentation,In Progress,8.91,22,7,0.8,0.5,1,1
TASK0179,Task description 179,2025-06-03,High,Alice,6,On-time,Research,Completed,5.47,6,8,0.8,0.8,0,0
TASK0180,Task description 180,2025-06-25,Medium,Alice,10,Delayed,Research,Completed,11.44,28,10,0.5,0.8,0,0
TASK0181,Task description 181,2025-06-25,Low,Eva,2,On-time,Research,Pending,7.25,28,3,0.8,0.8,0,1
TASK0182,Task description 182,2025-05-28,Medium,Alice,10,Delayed,Documentation,Completed,4.29,0,11,0.5,0.5,0,0
TASK0183,Task description 183,2025-05-31,High,Eva,1,Delayed,Testing,Completed,3.86,3,1,0.5,0.7,0,1
TASK0184,Task description 184,2025-06-24,High,Eva,6,On-time,Research,In Progress,6.96,27,8,0.8,0.8,0,0
TASK0185,Task description 185,2025-05-30,Medium,Alice,5,On-time,Documentation,Completed,5.55,2,6,0.8,0.5,0,1
TASK0186,Task description 186,2025-06-11,Low,Bob,4,On-time,Development,In Progress,7.43,14,6,0.8,0.9,0,1
TASK0187,Task description 187,2025-06-18,High,Bob,7,On-time,Research,Completed,6.95,21,7,0.8,0.8,0,1
TASK0188,Task description 188,2025-06-10,High,David,6,Perfect,Design,Pending,5.85,13,9,1.0,0.6,0,0
TASK0189,Task description 189,2025-05-30,Medium,Bob,8,On-time,Documentation,Completed,4.31,2,9,0.8,0.5,0,0
TASK0190,Task description 190,2025-06-25,High,David,1,On-time,Documentation,In Progress,2.97,28,3,0.8,0.5,0,1
TASK0191,Task description 191,2025-06-07,High,Alice,7,Perfect,Documentation,Pending,5.11,10,7,1.0,0.5,0,1
TASK0192,Task description 192,2025-06-26,High,Eva,9,Perfect,Research,Pending,7.71,29,12,1.0,0.8,0,0
TASK0193,Task description 193,2025-06-17,Medium,Eva,1,Delayed,Development,Pending,6.43,20,3,0.5,0.9,0,1
TASK0194,Task description 194,2025-06-03,High,David,1,On-time,Design,In Progress,3.51,6,2,0.8,0.6,0,1
TASK0195,Task description 195,2025-06-15,High,David,4,On-time,Design,Completed,6.35,18,4,0.8,0.6,0,1
TASK0196,Task description 196,2025-06-08,Low,Charlie,3,Perfect,Testing,In Progress,6.77,11,4,1.0,0.7,0,1
TASK0197,Task description 197,2025-06-16,Medium,Charlie,9,On-time,Design,In Progress,4.23,19,11,0.8,0.6,1,0
TASK0198,Task description 198,2025-06-09,Medium,Alice,2,On-time,Design,Completed,6.31,12,3,0.8,0.6,0,1
TASK0199,Task description 199,2025-06-10,Medium,Eva,1,Perfect,Research,Completed,6.12,13,1,1.0,0.8,0,1
TASK0200,Task description 200,2025-06-05,High,Alice,9,Delayed,Design,Completed,3.71,8,12,0.5,0.6,0,0
TASK0201,Task description 201,2025-06-05,Medium,Charlie,7,On-time,Development,Pending,6.72,8,7,0.8,0.9,0,1
TASK0202,Task description 202,2025-06-26,High,David,9,Delayed,Design,Completed,7.12,29,11,0.5,0.6,0,0
TASK0203,Task description 203,2025-06-11,High,Alice,8,On-time,Design,In Progress,8.17,14,8,0.8,0.6,0,0
TASK0204,Task description 204,2025-06-07,High,David,7,Perfect,Design,In Progress,8.11,10,8,1.0,0.6,0,0
TASK0205,Task description 205,2025-06-18,High,Alice,6,Delayed,Design,In Progress,3.24,21,6,0.5,0.6,0,1
TASK0206,Task description 206,2025-06-13,Medium,Eva,6,On-time,Design,Pending,4.12,16,6,0.8,0.6,0,1
TASK0207,Task description 207,2025-06-17,Low,Eva,8,Perfect,Documentation,In Progress,7.03,20,10,1.0,0.5,1,0
TASK0208,Task description 208,2025-06-15,High,David,6,On-time,Documentation,Completed,7.03,18,8,0.8,0.5,0,0
TASK0209,Task description 209,2025-06-16,High,Alice,5,On-time,Documentation,In Progress,7.03,19,5,0.8,0.5,0,1
TASK0210,Task description 210,2025-06-23,Medium,Bob,8,On-time,Design,Completed,13.71,26,9,0.8,0.6,0,0
TASK0211,Task description 211,2025-06-13,Medium,Charlie,4,Unreliable,Documentation,Pending,7.14,16,4,0.3,0.5,0,1
TASK0212,Task description 212,2025-06-21,Medium,Charlie,3,On-time,Documentation,In Progress,8.27,24,3,0.8,0.5,0,1
TASK0213,Task description 213,2025-06-19,Medium,Bob,3,On-time,Documentation,In Progress,7.91,22,6,0.8,0.5,0,1
TASK0214,Task description 214,2025-06-02,High,Eva,4,On-time,Testing,In Progress,7.3,5,5,0.8,0.7,0,1
TASK0215,Task description 215,2025-06-14,Medium,Charlie,6,Delayed,Documentation,Pending,5.37,17,7,0.5,0.5,0,1
TASK0216,Task description 216,2025-05-28,Medium,Bob,3,On-time,Documentation,Pending,7.52,0,6,0.8,0.5,0,1
TASK0217,Task description 217,2025-06-20,Medium,Charlie,7,Perfect,Development,Completed,4.45,23,7,1.0,0.9,0,1
TASK0218,Task description 218,2025-06-17,Low,Eva,2,Perfect,Design,Completed,5.53,20,3,1.0,0.6,0,1
TASK0219,Task description 219,2025-06-20,Medium,Eva,9,Perfect,Design,In Progress,5.03,23,12,1.0,0.6,0,0
TASK0220,Task description 220,2025-06-07,Medium,Alice,2,Perfect,Documentation,In Progress,6.16,10,4,1.0,0.5,0,1
TASK0221,Task description 221,2025-06-26,Medium,Charlie,5,Delayed,Design,Pending,10.63,29,6,0.5,0.6,1,1
TASK0222,Task description 222,2025-06-20,High,Alice,4,Perfect,Testing,Pending,2.27,23,7,1.0,0.7,0,1
TASK0223,Task description 223,2025-06-11,High,Bob,6,On-time,Documentation,Pending,7.37,14,6,0.8,0.5,0,1
TASK0224,Task description 224,2025-06-19,Medium,Bob,9,On-time,Research,Pending,2.77,22,12,0.8,0.8,0,0
TASK0225,Task description 225,2025-06-18,Low,Bob,8,Perfect,Testing,In Progress,5.06,21,11,1.0,0.7,1,0
TASK0226,Task description 226,2025-06-03,Medium,Charlie,8,Unreliable,Design,Pending,8.18,6,11,0.3,0.6,1,0
TASK0227,Task description 227,2025-06-18,High,Charlie,5,On-time,Design,Pending,6.13,21,8,0.8,0.6,1,0
